Company,InsuranceGroup,VehicleType,Region,Date,Premium,Vehicles
Company 1,Group B,Interurban,South,2025-03-01,0,0
Company 2,Group B,Interurban,South,2025-02-01,0,0
Company 2,Group B,Interurban,South,2025-06-01,0,0
Company 2,Group B,Interurban,South,2025-04-01,0,0
Company 1,Group B,Interurban,South,2025-04-01,0,0
Company 2,Group B,Interurban,South,2025-07-01,0,0
Company 1,Group B,Interurban,South,2025-07-01,0,0
Company 2,Group B,Interurban,South,2025-08-01,0,0
Company 1,Group B,Interurban,South,2025-08-01,118,1
Company 3,Group A,Commercial,Calgary,2016-03-01,1177,1
Company 4,Group A,Commercial,Calgary,2016-03-01,541240,335.0833333
Company 5,Group A,Commercial,Calgary,2016-03-01,2578054,1433.833333
Company 4,Group A,Commercial,Calgary,2016-04-01,475949,357.5833333
Company 3,Group A,Commercial,Calgary,2016-04-01,775,8.33333333
Company 5,Group A,Commercial,Calgary,2016-04-01,3344793,1895.416667
Company 4,Group A,Commercial,Calgary,2016-05-01,924576,1215.333333
Company 3,Group A,Commercial,Calgary,2016-05-01,7871,6.58333333
Company 5,Group A,Commercial,Calgary,2016-05-01,2919155,1400.416667
Company 3,Group A,Commercial,Calgary,2016-06-01,1976,2
Company 4,Group A,Commercial,Calgary,2016-06-01,528734,298.3333334
Company 5,Group A,Commercial,Calgary,2016-06-01,2971845,2576.25
Company 4,Group A,Commercial,Calgary,2016-07-01,662263,1020.666667
Company 5,Group A,Commercial,Calgary,2016-07-01,1953545,972.8333335
Company 3,Group A,Commercial,Calgary,2016-07-01,37786,66
Company 5,Group A,Commercial,Calgary,2016-08-01,2248899,1489.083334
Company 4,Group A,Commercial,Calgary,2016-08-01,232527,126.8333334
Company 3,Group A,Commercial,Calgary,2016-08-01,5554,2
Company 5,Group A,Commercial,Calgary,2016-09-01,2176071,1068.583334
Company 4,Group A,Commercial,Calgary,2016-09-01,285040,182.6666667
Company 3,Group A,Commercial,Calgary,2016-09-01,14701,3
Company 5,Group A,Commercial,Calgary,2016-10-01,2766008,1442.666667
Company 4,Group A,Commercial,Calgary,2016-10-01,891786,561.0833334
Company 3,Group A,Commercial,Calgary,2016-10-01,807,1
Company 5,Group A,Commercial,Calgary,2016-11-01,2699274,1475.75
Company 4,Group A,Commercial,Calgary,2016-11-01,415895,254.6666667
Company 3,Group A,Commercial,Calgary,2016-11-01,14584,2
Company 5,Group A,Commercial,Calgary,2016-12-01,1968471,1027.666667
Company 4,Group A,Commercial,Calgary,2016-12-01,384070,332.1666669
Company 4,Group A,Commercial,Central,2016-12-01,250938,265.5
Company 5,Group A,Commercial,Central,2016-12-01,1961150,1520.5
Company 5,Group A,Commercial,Central,2016-11-01,2415752,1982.75
Company 4,Group A,Commercial,Central,2016-11-01,3699394,6949
Company 5,Group A,Commercial,Central,2016-10-01,2753102,2534.75
Company 4,Group A,Commercial,Central,2016-10-01,436157,265
